Region,Resource,Zone,Cluster,AnnualSum
None,residential_tertiary_flexload_SE2,2,1,0.0
None,residential_tertiary_flexload_SE3,3,1,0.0
None,residential_tertiary_flexload_SE4,4,1,0.0
None,industry_flexload_SE1,1,1,4.6435418417237595e7
None,industry_flexload_SE2,2,1,2.7801763612626024e7
None,industry_flexload_SE3,3,1,6.499229116089259e7
None,industry_flexload_SE4,4,1,1.4196440195573205e7
None,electrolyser_flexload_SE1,1,1,1.114563298646226e9
None,electrolyser_flexload_SE2,2,1,3.8362541021741085e7
None,electrolyser_flexload_SE3,3,1,1.3207365489592986e8
None,electrolyser_flexload_SE4,4,1,1.1431099284524607e7
None,losses_flexload_SE1,1,1,0.0
None,losses_flexload_SE2,2,1,0.0
None,losses_flexload_SE3,3,1,0.0
None,losses_flexload_SE4,4,1,0.0
None,flexload_NO125,5,1,0.0
None,flexload_NO3,6,1,0.0
None,flexload_NO4,7,1,0.0
None,EV_flexload_NO125,5,1,0.0
None,EV_flexload_NO3,6,1,0.0
None,EV_flexload_NO4,7,1,0.0
None,flexload_FI,8,1,0.0
None,electrolyser_flexload_FI,8,1,6.678296294533169e8
None,EV_flexload_FI,8,1,4.000457437403134e8
None,industry_flexload_FI,8,1,7.102094440312822e8
None,flexload_DK1,9,1,0.0
None,flexload_DK2,10,1,0.0
None,EV_flexload_DK1,9,1,0.0
None,EV_flexload_DK2,10,1,0.0
None,heating_space_flexload_DE,11,1,2.0025074014217157e9
None,heating_sanitary_flexload_DE,11,1,2.341319930461403e9
None,EV_flexload_DE,11,1,0.0
None,residential_tertiary_flexload_DE,11,1,0.0
None,industry_flexload_DE,11,1,4.8866814482224077e8
None,electrolyser_flexload_DE,11,1,5.242217796957985e9
None,losses_flexload_DE,11,1,0.0
None,EV_flexload_PL,12,1,0.0
None,flexload_PL,12,1,0.0
None,flexload_BT,13,1,0.0
None,EV_flexload_BT,13,1,0.0
None,flexload_UK,14,1,0.0
None,EV_flexload_UK,14,1,4.356208028576288e9
None,electrolyser_flexload_UK,14,1,3.799037945035667e9
None,flexload_FR,15,1,0.0
None,EV_flexload_FR,15,1,3.670995303272317e9
None,electrolyser_flexload_FR,15,1,2.3020490956740065e9
None,flexload_ES,16,1,0.0
None,EV_flexload_ES,16,1,9.386005396815065e8
None,electrolyser_flexload_ES,16,1,2.460998271162231e9
None,flexload_NL,17,1,0.0
None,EV_flexload_NL,17,1,1.001669287633177e9
None,electrolyser_flexload_NL,17,1,3.4803384720424695e9
